categorie,question,A,B,C,bonne_reponse,commentaire,source
Cat C - Bases comptables et financieres,"Concernant le portefeuille titres détenu par une société, vous pouvez affirmer :",Les titres non cotés ne sont pas évalués,"En cas de dépréciation, son provisionnement n'est pas obligatoire",Les titres cotés sont évalués à la clôture de chaque exercice,C,"Les titres cotés sont sujets aux fluctuations du marché. Afin de refléter avec exactitude leur valeur réelle dans les bilans financiers, ils sont réévalués à la clôture de chaque exercice financier, selon le dernier cours connu ou le prix du marché.",B BOI-BIC-PVMV-30-20-10-10 n°20
Cat C - Bases comptables et financieres,Les franchissements de seuil doivent être déclarés :,En cas d'intention d'OPA (Offre Publique d'Achat),Dans tous les cas,En cas de pacte d'actionnaires,B,"Les franchissements de seuil en finance et en marché des actions indiquent d'importantes modifications dans la détention d'actions, révélant des changements significatifs dans le contrôle ou l'influence sur une entreprise, obligeant donc une transparence systématique pour la régulation et l'information des investisseurs et du marché.",L. 233-7 du Code de Commerce
Cat C - Bases comptables et financieres,Comment sont imposés les intérêts d'un dépôt à terme perçus par une entreprise passible de l'impôt sur les sociétés (IS) ?,Ils peuvent bénéficier sur option d'un prélèvement forfaitaire libératoire (PFL),Ils doivent être rattachés aux résultats de l'exercice au cours duquel ils ont été perçus,Ils doivent être rattachés aux résultats de l'exercice au cours duquel ils ont couru,C,"Les intérêts de dépôts à terme sont considérés comme des revenus financiers pour l'entreprise. Ils sont donc intégrés au résultat fiscal de l'exercice pendant lequel ils ont été générés, contribuant ainsi à la base imposable soumise à l'IS.","CGI, art. 209 OA."
Cat C - Bases comptables et financieres,"Quelles sont les personnes soumises à l'impôt sur le revenu (IR), en France ?",Celles qui ne résident pas en France mais dont les revenus sont de source française (seuls imposables),Les deux catégories de personnes mentionnées ci-dessus,Celles ayant un domicile fiscal en France,B,"En France, l'impôt sur le revenu s'applique aux résidents fiscaux qui perçoivent des revenus mondiaux et aux non-résidents qui ont des revenus de source française. Les ' deux catégories ' décrites précédemment englobent ces deux groupes cibles de l'administration fiscale française.",CGI art. 4A
Cat C - Bases comptables et financieres,Les niches fiscales sont globalement plafonnées pour un même foyer fiscal à :,10.000 euros,18.000 euros majoré de 4 % du revenu net imposable,10.000 euros majoré de 4 % du revenu net imposable,A,"Les niches fiscales sont limitées pour éviter que des réductions d'impôts excessives ne nuisent aux recettes de l'État. Le plafond de 10.000 euros assure un équilibre entre l'incitation à certaines activités, comme l'investissement dans l'immobilier locatif, et la nécessité de financer les services publics.",BOI-IR-LIQ-20-20-10-30 n°120
Cat C - Bases comptables et financieres,Qu'est-ce qu'un passif ?,"Un passif est un élément du patrimoine ayant une valeur économique négative pour l'entité, c'est-à-dire une obligation de l'entité à l'égard d'un tiers dont il est probable ou certain qu'elle provoquera une sortie des ressources au bénéfice de ce tiers, sans contrepartie au moins équivalente attendue de celui-ci","Un passif est une somme reçue ou à recevoir en contrepartie de la fourniture par l'entreprise de biens, travaux et services","Un passif est un élément identifiable du patrimoine ayant une valeur économique positive pour l'entité, c'est-à-dire un élément générant une ressource que l'entité contrôle du fait d'évènements passés et dont elle attend des avantages économiques futurs",A,"Un passif reflète les dettes ou obligations financières d'une entreprise envers des tiers, qui entraînent une réduction des ressources de l'entreprise, comme le paiement de salaires ou le remboursement de prêts, sans recevoir une valeur équivalente en retour.","PCG, Art. 212-1"
Cat C - Bases comptables et financieres,Le taux de la TTF (Taxe sur les Transactions Financières) sur l'acquisition d'actions françaises cotées a été modifié au 1er janvier 2017 pour atteindre un taux de :,"0,2% de la valeur de la transaction concernée","0,5% de la valeur de la transaction concernée","0,3% de la valeur de la transaction concernée",C,"Depuis le 1er janvier 2017, le gouvernement français a augmenté le taux de la TTF pour générer davantage de revenus destinés à financer des initiatives publiques, fixant le taux à 0,3% pour accentuer l'impact sur les transactions d'actions les plus importantes.",235 ter ZD Code Général des Impôts - Livre I - Titre IV Chapitre I bis ' Impôt de solidarité sur la fortune '
Cat C - Bases comptables et financieres,La 'CSG' et la 'CRDS':,Frappent les revenus du capital financier et immobilier,Sont les seules contributions sociales existantes,Portent sur les revenus salariés mais pas sur les revenus des placements mobiliers,A,"La CSG (Contribution Sociale Généralisée) et la CRDS (Contribution pour le Remboursement de la Dette Sociale) sont des prélèvements fiscaux français qui s'appliquent à différents types de revenus, y compris ceux provenant du capital financier et immobilier, pour financer la sécurité sociale.",https://www.service-public.fr/particuliers/vosdroits/F2329
Cat C - Bases comptables et financieres,"Pour une entreprise, que trouve-t-on, entre autres, dans les immobilisations financières ?",Les titres financiers acquis par l'entreprise pour être détenus à long terme,Ses dettes à court terme,La part amortie des immobilisations corporelles,A,"Les immobilisations financières comprennent des actifs destinés à servir durablement l’entreprise, tels que les titres financiers acquis dans une intention de les conserver sur le long terme, pour générer des revenus ou des gains futurs.",https://www.creer-gerer-entreprendre.fr/6-la-gestion-de-lentreprise/6-1-la-gestion-comptable/les-immobilisations-financieres/
Cat C - Bases comptables et financieres,A quel montant commence le calcul de la première tranche de calcul de l'impôt sur la fortune immobilière ?,1 000 000 €,1 300 000 €,800 000 €,C,"L'impôt sur la fortune immobilière (IFI) s'applique lorsque la valeur nette des biens immobiliers excède 1,3 million €. Cependant, le barème progressif commence à calculer l'impôt à partir de 800 000 €, ce seuil étant le point de départ de la première tranche d'imposition.",Article 977 du Code Général des Impôts
